======================================================================
  FLIP-DISTRIBUTION SWEEP: 300 seeds x 10 coin-flip trials = 3000 games (rust/rayon)
  (seeds 0-299, go-off p>=0.95)
  seed 203  win 100% over 10 flips   median  7.0  (best 7, worst 10)
  seed 204  win 100% over 10 flips   median  6.0  (best 6, worst 6)
  seed 205  win 100% over 10 flips   median  8.0  (best 6, worst 12)
  seed 206  win 100% over 10 flips   median  7.0  (best 7, worst 8)
  seed 207  win 100% over 10 flips   median  5.0  (best 4, worst 7)
  seed 208  win 100% over 10 flips   median  9.0  (best 7, worst 11)
  seed 209  win 100% over 10 flips   median 11.0  (best 5, worst 15)
  seed 210  win 100% over 10 flips   median  6.5  (best 6, worst 7)
  seed 211  win 100% over 10 flips   median  6.0  (best 6, worst 6)
  seed 212  win 100% over 10 flips   median  7.0  (best 6, worst 9)
  seed 213  win 100% over 10 flips   median 12.0  (best 10, worst 12)
  seed 214  win 100% over 10 flips   median  6.0  (best 4, worst 8)
  seed 215  win 100% over 10 flips   median  7.5  (best 6, worst 8)
  seed 216  win 100% over 10 flips   median  4.0  (best 4, worst 6)
  seed 217  win 100% over 10 flips   median  7.0  (best 6, worst 7)
  seed 218  win 100% over 10 flips   median  9.0  (best 9, worst 9)
  seed 219  win 100% over 10 flips   median  9.0  (best 9, worst 9)
  seed 220  win 100% over 10 flips   median  8.0  (best 7, worst 10)
  seed 221  win 100% over 10 flips   median 15.0  (best 15, worst 15)
  seed 222  win 100% over 10 flips   median  8.0  (best 8, worst 8)
  seed 223  win 100% over 10 flips   median  6.0  (best 5, worst 9)
  seed 224  win 100% over 10 flips   median  8.0  (best 7, worst 9)
  seed 225  win 100% over 10 flips   median  5.0  (best 4, worst 6)
  seed 226  win 100% over 10 flips   median  6.5  (best 5, worst 7)
  seed 227  win 100% over 10 flips   median 11.0  (best 11, worst 11)
  seed 228  win 100% over 10 flips   median  8.0  (best 8, worst 9)
  seed 229  win 100% over 10 flips   median  6.0  (best 5, worst 7)
  seed 230  win 100% over 10 flips   median  8.0  (best 7, worst 9)
  seed 231  win 100% over 10 flips   median  3.5  (best 3, worst 6)
  seed 232  win 100% over 10 flips   median 10.0  (best 10, worst 11)
  seed 233  win 100% over 10 flips   median  7.0  (best 7, worst 9)
  seed 234  win 100% over 10 flips   median 13.0  (best 13, worst 13)
  seed 235  win 100% over 10 flips   median 13.0  (best 13, worst 13)
  seed 236  win 100% over 10 flips   median  9.5  (best 8, worst 10)
  seed 237  win 100% over 10 flips   median  5.5  (best 4, worst 11)
  seed 238  win 100% over 10 flips   median  8.5  (best 8, worst 10)
  seed 239  win 100% over 10 flips   median  8.0  (best 7, worst 9)
  seed 240  win 100% over 10 flips   median 10.0  (best 10, worst 10)
  seed 241  win 100% over 10 flips   median  6.0  (best 5, worst 10)
  seed 242  win 100% over 10 flips   median  7.0  (best 7, worst 8)
  seed 243  win 100% over 10 flips   median  6.0  (best 6, worst 8)
  seed 244  win 100% over 10 flips   median  9.0  (best 8, worst 10)
  seed 245  win 100% over 10 flips   median  7.0  (best 5, worst 8)
  seed 246  win 100% over 10 flips   median  3.0  (best 2, worst 7)
  seed 247  win 100% over 10 flips   median  9.0  (best 9, worst 11)
  seed 248  win 100% over 10 flips   median  7.0  (best 5, worst 10)
  seed 249  win 100% over 10 flips   median  5.5  (best 3, worst 7)
  seed 250  win  80% over 10 flips   median 13.0  (best 9, worst 18)
  seed 251  win 100% over 10 flips   median  8.5  (best 4, worst 10)
  seed 252  win 100% over 10 flips   median  8.5  (best 7, worst 10)
  seed 253  win 100% over 10 flips   median  5.0  (best 5, worst 6)
  seed 254  win 100% over 10 flips   median 11.0  (best 9, worst 11)
  seed 255  win  90% over 10 flips   median  6.0  (best 6, worst 11)
